;;;year
MISCAN-Colon (Erasmus/MSK);van der Steen A, Knudsen AB, van Hees F, Walter GP, Berger FG, Daguise VG, Kuntz KM, Zauber AG, van Ballegooijen M, Lansdorp-Vogelaar I, Optimal colorectal cancer screening in states' low-income, uninsured populations—the case of South Carolina, Health Serv Res, June 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25324198;2015
MISCAN-Colon (Erasmus/MSK);Meester RG, Doubeni CA, Lansdorp-Vogelaar I, Goede SL, Levin TR, Quinn VP, Ballegooijen Mv, Corley DA, Zauber AG, Colorectal cancer deaths attributable to nonuse of screening in the United States, Ann Epidemiol, March 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25721748;2015
MISCAN-Colon (Erasmus/MSK);Zauber AG, The impact of screening on colorectal cancer mortality and incidence: has it really made a difference?, Dig Dis Sci, March 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25740556;2015
MISCAN-Colon (Erasmus/MSK);Rabeneck L, Horton S, Zauber AG, Earle C. Colorectal Cancer. In: Gelband H, Jha P, Sankaranarayanan R, Horton S, editors. Disease Control Priorities. Third Edition. Washington, DC: The World Bank  2015. p. 101-120.;;2015
SimCRC (Minnesota/MGH);Jalal H, Goldhaber-Fiebert JD, Kuntz KM, Computing Expected Value of Partial Sample Information from Probabilistic Sensitivity Analysis Using Linear Regression Metamodeling, Med Decis Making, July 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25840900;2015
SimCRC (Minnesota/MGH);Goede SL, Kuntz KM, van Ballegooijen M, Knudsen AB, Lansdorp-Vogelaar I, Tangka FK, Howard DH, Chin J, Zauber AG, Seeff LC, Cost-Savings to Medicare From Pre-Medicare Colorectal Cancer Screening, Med Care, July 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26067885;2015
SimCRC (Minnesota/MGH);Haug U, Knudsen AB, Lansdorp-Vogelaar I, Kuntz KM, Development of new non-invasive tests for colorectal cancer screening: the relevance of information on adenoma detection, Int J Cancer, June 15, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25403937;2015
SimCRC (Minnesota/MGH);van der Steen A, Knudsen AB, van Hees F, Walter GP, Berger FG, Daguise VG, Kuntz KM, Zauber AG, van Ballegooijen M, Lansdorp-Vogelaar I, Optimal colorectal cancer screening in states' low-income, uninsured populations—the case of South Carolina, Health Serv Res, June 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25324198;2015
EACMo (MGH);Hazelton WD, Curtius K, Inadomi JM, Vaughan TL, Meza R, Rubenstein JH, Hur C, Luebeck EG, The Role of Gastroesophageal Reflux and Other Factors during Progression to Esophageal Adenocarcinoma, Cancer Epidemiol Biomarkers Prev, July 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25931440;2015
EACMo (MGH);Hur C, Choi SE, Kong CY, Wang GQ, Xu H, Polydorides AD, Xue LY, Perzan KE, Tramontano AC, Richards-Kortum RR, Anandasabapathy S, et al., High-resolution microendoscopy for esophageal cancer screening in China: A cost-effectiveness analysis, World J Gastroenterol, May 14, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25987774;2015
MISCAN-ESO (Erasmus/UW);Kroep S, Lansdorp-Vogelaar I, Rubenstein JH, de Koning HJ, Meester R, Inadomi JM, van Ballegooijen M, An Accurate Cancer Incidence in Barrett's Esophagus: A Best Estimate Using Published Data and Modeling, Gastroenterology, Sept. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25935635;2015
MISCAN-ESO (Erasmus/UW);Kroep S, Lansdorp-Vogelaar I, van der Steen A, Inadomi JM, van Ballegooijen M, The Impact of Uncertainty in Barrett's Esophagus Progression Rates on Hypothetical Screening and Treatment Decisions, Med Decis Making, Aug. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25277672;2015
MISCAN-ESO (Erasmus/UW);Hazelton WD, Curtius K, Inadomi JM, Vaughan TL, Meza R, Rubenstein JH, Hur C, Luebeck EG, The Role of Gastroesophageal Reflux and Other Factors during Progression to Esophageal Adenocarcinoma, Cancer Epidemiol Biomarkers Prev, July 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25931440;2015
MISCAN-ESO (Erasmus/UW);Inadomi JM, Cost considerations in implementing a screening and surveillance strategy for Barrett's oesophagus, Best Pract Res Clin Gastroenterol, Feb. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25743456;2015
MSCE-EAC (FHCRC);Hazelton WD, Curtius K, Inadomi JM, Vaughan TL, Meza R, Rubenstein JH, Hur C, Luebeck EG, The Role of Gastroesophageal Reflux and Other Factors during Progression to Esophageal Adenocarcinoma, Cancer Epidemiol Biomarkers Prev, July 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25931440;2015
MSCE-EAC (FHCRC);Curtius K, Hazelton WD, Jeon J, Luebeck EG, A Multiscale Model Evaluates Screening for Neoplasia in Barrett's Esophagus, PLoS Comput Biol, May 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26001209;2015
LCPM (MGH);Lowry KP, Gazelle GS, Gilmore ME, Johanson C, Munshi V, Choi SE, Tramontano AC, Kong CY, McMahon PM, Personalizing annual lung cancer screening for patients with chronic obstructive pulmonary disease: A decision analysis, Cancer, May 15, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25652107;2015
LCPM (MGH);Tramontano AC, Schrag DL, Malin JK, Miller MC, Weeks JC, Swan JS, McMahon PM, Catalog and comparison of societal preferences (utilities) for lung cancer health states: results from the Cancer Care Outcomes Research and Surveillance (CanCORS) study, Med Decis Making, April 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25670839;2015
MISCAN-Lung (Erasmus);Ten Haaf K, de Koning HJ, Overdiagnosis in lung cancer screening: why modelling is essential, J Epidemiol Community Health, Nov. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26071497;2015
MISCAN-Lung (Erasmus);Ten Haaf K, de Koning HJ, Should Never-Smokers at Increased Risk for Lung Cancer Be Screened?, J Thorac Oncol, Sept. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26287320;2015
MISCAN-Lung (Erasmus);Ten Haaf K, van Rosmalen J, de Koning HJ, Lung cancer detectability by test, histology, stage, and gender: estimates from the NLST and the PLCO trials, Cancer Epidemiol Biomarkers Prev, Jan. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25312998;2015
SimSmoke (Georgetown);Levy DT, Lindblom EN, Fleischer NL, Thrasher J, Mohlman MK, Zhang Y, Monshouwer K, Nagelhout GE, Public Health Effects of Restricting Retail Tobacco Product Displays and Ads, Tob Regul Sci, April 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26191538;2015
UM-LCSm (Michigan);Meza R, Meernik C, Jeon J, Cote ML, Lung cancer incidence trends by gender, race and histology in the United States, 1973-2010, PLoS One, Jan. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25822850;2015
YLCM (Yale);Oh C, Holford TR, Age-Period-Cohort approaches to back-calculation of cancer incidence rate, Stat Med, May 20, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25715831;2015
MISCAN-PRO (Erasmus);de Carvalho TM, Heijnsdijk EA, de Koning HJ, Screening for prostate cancer in the US? Reduce the harms and keep the benefit, Int J Cancer, April 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25123412;2015
PSAPC (FHCRC);Birnbaum JK, Feng Z, Gulati R, Fan J, Lotan Y, Wei JT, Etzioni R, Projecting Benefits and Harms of Novel Cancer Screening Biomarkers: A Study of PCA3 and Prostate Cancer, Cancer Epidemiol Biomarkers Prev, April 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25613117;2015
SCANS (Michigan);Ha J, Tsodikov A, Semiparametric estimation in the proportional hazard model accounting for a misclassified cause of failure, Biometrics, Dec. 1, 2015 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26102346;2015
UWBCS (Wisconsin);Mandelblatt J, Cronin K, de Koning H, Miglioretti DL, Schechter C, Stout N. Collaborative Modeling of U.S. Breast Cancer Screening Strategies. Writing Committee of the Breast Cancer Working Group  2015 Apr. AHRQ Publication No. 14-05201-EF-4.;;2015
CISNET-DFCI (Dana-Farber);Jia N, Lee SJ. An Exact Formula for Estimation of Age-Specific Sensitivity for Screening Tests. APPL MATH 2014 Oct 5:2771-2778.;;2014
Bayesian Simulation Model (MDACC);Berry DA, Failure of researchers, reviewers, editors, and the media to understand flaws in cancer screening studies: application to an article in Cancer, Cancer, Sept. 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24925345;2014
Bayesian Simulation Model (MDACC);Munsell MF, Sprague BL, Berry DA, Chisholm G, Trentham-Dietz A, Body mass index and breast cancer risk according to postmenopausal estrogen-progestin use and hormone receptor status, Epidemiol Rev, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24375928;2014
BCOS (Stanford);Gallaher J, Babu A, Plevritis S, Anderson ARA, Bridging population and tissue scale tumor dynamics: a new paradigm for understanding differences in tumor growth and metastatic disease, Cancer Res, Jan. 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24408919;2014
CISNET-DFCI (Dana-Farber);Munoz D, Near AM, van Ravesteyn NT, Lee SJ, Schechter CB, Alagoz O, Berry DA, Burnside ES, Chang Y, Chisholm G, de Koning HJ, et al., Effects of screening and systemic adjuvant therapy on ER-specific US breast cancer mortality, J Natl Cancer Inst, Nov. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25255803;2014
CISNET-DFCI (Dana-Farber);Stout NK, Lee SJ, Schechter CB, Kerlikowske K, Alagoz O, Berry D, Buist DS, Cevik M, Chisholm G, de Koning HJ, Huang H, et al., Benefits, harms, and costs for breast cancer screening after US implementation of digital mammography, J Natl Cancer Inst, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24872543;2014
MISCAN-Fadia (Erasmus);Munoz D, Near AM, van Ravesteyn NT, Lee SJ, Schechter CB, Alagoz O, Berry DA, Burnside ES, Chang Y, Chisholm G, de Koning HJ, et al., Effects of screening and systemic adjuvant therapy on ER-specific US breast cancer mortality, J Natl Cancer Inst, Nov. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25255803;2014
MISCAN-Fadia (Erasmus);Lansdorp-Vogelaar I, Gulati R, Mariotto AB, Schechter CB, de Carvalho TM, Knudsen AB, van Ravesteyn NT, Heijnsdijk EA, Pabiniak C, van Ballegooijen M, Rutter CM, et al., Personalizing age of cancer screening cessation based on comorbid conditions: model estimates of harms and benefits, Ann Intern Med, July 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25023249;2014
MISCAN-Fadia (Erasmus);Stout NK, Lee SJ, Schechter CB, Kerlikowske K, Alagoz O, Berry D, Buist DS, Cevik M, Chisholm G, de Koning HJ, Huang H, et al., Benefits, harms, and costs for breast cancer screening after US implementation of digital mammography, J Natl Cancer Inst, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24872543;2014
Spectrum/G-E (Georgetown/Einstein);Habbema JD, Wilt TJ, Etzioni R, Nelson HD, Schechter CB, Lawrence WF, Melnikow J, Kuntz KM, Owens DK, Feuer EJ, Models in the development of clinical practice guidelines, Ann Intern Med, Dec. 2, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25437409;2014
Spectrum/G-E (Georgetown/Einstein);Munoz D, Near AM, van Ravesteyn NT, Lee SJ, Schechter CB, Alagoz O, Berry DA, Burnside ES, Chang Y, Chisholm G, de Koning HJ, et al., Effects of screening and systemic adjuvant therapy on ER-specific US breast cancer mortality, J Natl Cancer Inst, Nov. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25255803;2014
Spectrum/G-E (Georgetown/Einstein);Lansdorp-Vogelaar I, Gulati R, Mariotto AB, Schechter CB, de Carvalho TM, Knudsen AB, van Ravesteyn NT, Heijnsdijk EA, Pabiniak C, van Ballegooijen M, Rutter CM, et al., Personalizing age of cancer screening cessation based on comorbid conditions: model estimates of harms and benefits, Ann Intern Med, July 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25023249;2014
Spectrum/G-E (Georgetown/Einstein);Stout NK, Lee SJ, Schechter CB, Kerlikowske K, Alagoz O, Berry D, Buist DS, Cevik M, Chisholm G, de Koning HJ, Huang H, et al., Benefits, harms, and costs for breast cancer screening after US implementation of digital mammography, J Natl Cancer Inst, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24872543;2014
Spectrum/G-E (Georgetown/Einstein);Schwartz MD, Valdimarsdottir HB, Peshkin BN, Mandelblatt J, Nusbaum R, Huang AT, Chang Y, Graves K, Isaacs C, Wood M, McKinnon W, et al., Randomized noninferiority trial of telephone versus in-person genetic counseling for hereditary breast and ovarian cancer, J Clin Oncol, March 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24449235;2014
UWBCS (Wisconsin);Munoz D, Near AM, van Ravesteyn NT, Lee SJ, Schechter CB, Alagoz O, Berry DA, Burnside ES, Chang Y, Chisholm G, de Koning HJ, et al., Effects of screening and systemic adjuvant therapy on ER-specific US breast cancer mortality, J Natl Cancer Inst, Nov. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25255803;2014
UWBCS (Wisconsin);Jewett PI, Gangnon RE, Trentham-Dietz A, Sprague BL, Trends of postmenopausal estrogen plus progestin prevalence in the United States between 1970 and 2010, Obstet Gynecol, Oct. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25198271;2014
UWBCS (Wisconsin);Sprague BL, Gangnon RE, Burt V, Trentham-Dietz A, Hampton JM, Wellman RD, Kerlikowske K, Miglioretti DL, Prevalence of mammographically dense breasts in the United States, J Natl Cancer Inst, Oct. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25217577;2014
UWBCS (Wisconsin);Stout NK, Lee SJ, Schechter CB, Kerlikowske K, Alagoz O, Berry D, Buist DS, Cevik M, Chisholm G, de Koning HJ, Huang H, et al., Benefits, harms, and costs for breast cancer screening after US implementation of digital mammography, J Natl Cancer Inst, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24872543;2014
UWBCS (Wisconsin);Trentham-Dietz A, Sprague BL, Hampton JM, Miglioretti DL, Nelson HD, Titus LJ, Egan KM, Remington PL, Newcomb PA, Modification of breast cancer risk according to age and menopausal status: a combined analysis of five population-based case-control studies, Breast Cancer Res Treat, May 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24647890;2014
UWBCS (Wisconsin);Munsell MF, Sprague BL, Berry DA, Chisholm G, Trentham-Dietz A, Body mass index and breast cancer risk according to postmenopausal estrogen-progestin use and hormone receptor status, Epidemiol Rev, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24375928;2014
HSPH-Cervical (Harvard);Campos NG, Burger EA, Sy S, Sharma M, Schiffman M, Rodriguez AC, Hildesheim A, Herrero R, Kim JJ, An updated natural history model of cervical cancer: derivation of model parameters, Am J Epidemiol, Sept. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25081182;2014
HSPH-Cervical (Harvard);Wheeler CM, Hunt WC, Cuzick J, Langsfeld E, Robertson M, Castle PE, The influence of type-specific human papillomavirus infections on the detection of cervical precancer and cancer: A population-based study of opportunistic cervical screening in the United States, Int J Cancer, Aug. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24226935;2014
Policy1-Cervix (CCNSW);C Kitchener H, Canfell K, Gilham C, Sargent A, Roberts C, Desai M, Peto J, The clinical effectiveness and cost-effectiveness of primary human papillomavirus cervical screening in England: extended follow-up of the ARTISTIC randomised trial cohort through three screening rounds, Health Technol Assess, April 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24762804;2014
Policy1-Cervix (CCNSW);Smith MA, Canfell K, Testing previous model predictions against new data on human papillomavirus vaccination program outcomes, BMC Res Notes, Feb. 25, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24568634;2014
Policy1-Cervix (CCNSW);Smith MA, Canfell K, Incremental benefits of male HPV vaccination: accounting for inequality in population uptake, PLoS One, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25089637;2014
CRC-SPIN (RAND);Lansdorp-Vogelaar I, Gulati R, Mariotto AB, Schechter CB, de Carvalho TM, Knudsen AB, van Ravesteyn NT, Heijnsdijk EA, Pabiniak C, van Ballegooijen M, Rutter CM, et al., Personalizing age of cancer screening cessation based on comorbid conditions: model estimates of harms and benefits, Ann Intern Med, July 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25023249;2014
MISCAN-Colon (Erasmus/MSK);Saini SD, van Hees F, Vijan S, Smarter screening for cancer: possibilities and challenges of personalization, JAMA, Dec. 3, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25461993;2014
MISCAN-Colon (Erasmus/MSK);Cenin DR, St John DJ, Ledger MJ, Slevin T, Lansdorp-Vogelaar I, Optimising the expansion of the National Bowel Cancer Screening Program, Med J Aust, Oct. 20, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25332032;2014
MISCAN-Colon (Erasmus/MSK);van Hees F, Zauber AG, Klabunde CN, Goede SL, Lansdorp-Vogelaar I, van Ballegooijen M, The appropriateness of more intensive colonoscopy screening than recommended in Medicare beneficiaries: a modeling study, JAMA Intern Med, Oct. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25133641;2014
MISCAN-Colon (Erasmus/MSK);Lansdorp-Vogelaar I, Gulati R, Mariotto AB, Schechter CB, de Carvalho TM, Knudsen AB, van Ravesteyn NT, Heijnsdijk EA, Pabiniak C, van Ballegooijen M, Rutter CM, et al., Personalizing age of cancer screening cessation based on comorbid conditions: model estimates of harms and benefits, Ann Intern Med, July 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25023249;2014
MISCAN-Colon (Erasmus/MSK);van Hees F, Habbema JD, Meester RG, Lansdorp-Vogelaar I, van Ballegooijen M, Zauber AG, Should colorectal cancer screening be considered in elderly persons without previous screening? A cost-effectiveness analysis, Ann Intern Med, June 3, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24887616;2014
SimCRC (Minnesota/MGH);Lansdorp-Vogelaar I, Gulati R, Mariotto AB, Schechter CB, de Carvalho TM, Knudsen AB, van Ravesteyn NT, Heijnsdijk EA, Pabiniak C, van Ballegooijen M, Rutter CM, et al., Personalizing age of cancer screening cessation based on comorbid conditions: model estimates of harms and benefits, Ann Intern Med, July 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25023249;2014
EACMo (MGH);Yasuda K, Choi SE, Nishioka NS, Rattner DW, Puricelli WP, Tramontano AC, Kitano S, Hur C, Incidence and predictors of adenocarcinoma following endoscopic ablation of Barrett's esophagus, Dig Dis Sci, July 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24395382;2014
EACMo (MGH);Kong CY, Kroep S, Curtius K, Hazelton WD, Jeon J, Meza R, Heberle CR, Miller MC, Choi SE, Lansdorp-Vogelaar I, van Ballegooijen M, et al., Exploring the recent trend in esophageal adenocarcinoma incidence and mortality using comparative simulation modeling, Cancer Epidemiol Biomarkers Prev, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24692500;2014
EACMo (MGH);Choi SE, Perzan KE, Tramontano AC, Kong CY, Hur C, Statins and aspirin for chemoprevention in Barrett's esophagus: results of a cost-effectiveness analysis, Cancer Prev Res (Phila), March 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24380852;2014
MISCAN-ESO (Erasmus/UW);Kong CY, Kroep S, Curtius K, Hazelton WD, Jeon J, Meza R, Heberle CR, Miller MC, Choi SE, Lansdorp-Vogelaar I, van Ballegooijen M, et al., Exploring the recent trend in esophageal adenocarcinoma incidence and mortality using comparative simulation modeling, Cancer Epidemiol Biomarkers Prev, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24692500;2014
MSCE-EAC (FHCRC);Kong CY, Kroep S, Curtius K, Hazelton WD, Jeon J, Meza R, Heberle CR, Miller MC, Choi SE, Lansdorp-Vogelaar I, van Ballegooijen M, et al., Exploring the recent trend in esophageal adenocarcinoma incidence and mortality using comparative simulation modeling, Cancer Epidemiol Biomarkers Prev, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24692500;2014
LCOS (Stanford);de Koning HJ, Meza R, Plevritis SK, Raising the bar for the U.S. Preventive Services Task Force, Ann Intern Med, Oct. 7, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25285549;2014
LCOS (Stanford);Meza R, ten Haaf K, Kong CY, Erdogan A, Black WC, Tammemagi MC, Choi SE, Jeon J, Han SS, Munshi V, van Rosmalen J, et al., Comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the NLST and PLCO trials, Cancer, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24577803;2014
LCOS (Stanford);de Koning HJ, Meza R, Plevritis SK, ten Haaf K, Munshi VN, Jeon J, Erdogan SA, Kong CY, Han SS, van Rosmalen J, Choi SE, et al., Benefits and harms of computed tomography lung cancer screening strategies: a comparative modeling study for the U.S. Preventive Services Task Force, Ann Intern Med, March 4, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24379002;2014
LCOS (Stanford);Gallaher J, Babu A, Plevritis S, Anderson ARA, Bridging population and tissue scale tumor dynamics: a new paradigm for understanding differences in tumor growth and metastatic disease, Cancer Res, Jan. 15, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24408919;2014
LCOS (Stanford);McMahon PM, Meza R, Plevritis SK, Black WC, Tammemagi CM, Erdogan A, ten Haaf K, Hazelton W, Holford TR, Jeon J, Clarke L, et al., Comparing benefits from many possible computed tomography lung cancer screening programs: extrapolating from the National Lung Screening Trial using comparative modeling, PLoS One, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24979231;2014
LCPM (MGH);Meza R, ten Haaf K, Kong CY, Erdogan A, Black WC, Tammemagi MC, Choi SE, Jeon J, Han SS, Munshi V, van Rosmalen J, et al., Comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the NLST and PLCO trials, Cancer, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24577803;2014
LCPM (MGH);de Koning HJ, Meza R, Plevritis SK, ten Haaf K, Munshi VN, Jeon J, Erdogan SA, Kong CY, Han SS, van Rosmalen J, Choi SE, et al., Benefits and harms of computed tomography lung cancer screening strategies: a comparative modeling study for the U.S. Preventive Services Task Force, Ann Intern Med, March 4, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24379002;2014
LCPM (MGH);McMahon PM, Meza R, Plevritis SK, Black WC, Tammemagi CM, Erdogan A, ten Haaf K, Hazelton W, Holford TR, Jeon J, Clarke L, et al., Comparing benefits from many possible computed tomography lung cancer screening programs: extrapolating from the National Lung Screening Trial using comparative modeling, PLoS One, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24979231;2014
LMO (FHCRC);Meza R, ten Haaf K, Kong CY, Erdogan A, Black WC, Tammemagi MC, Choi SE, Jeon J, Han SS, Munshi V, van Rosmalen J, et al., Comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the NLST and PLCO trials, Cancer, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24577803;2014
LMO (FHCRC);de Koning HJ, Meza R, Plevritis SK, ten Haaf K, Munshi VN, Jeon J, Erdogan SA, Kong CY, Han SS, van Rosmalen J, Choi SE, et al., Benefits and harms of computed tomography lung cancer screening strategies: a comparative modeling study for the U.S. Preventive Services Task Force, Ann Intern Med, March 4, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24379002;2014
LMO (FHCRC);McMahon PM, Meza R, Plevritis SK, Black WC, Tammemagi CM, Erdogan A, ten Haaf K, Hazelton W, Holford TR, Jeon J, Clarke L, et al., Comparing benefits from many possible computed tomography lung cancer screening programs: extrapolating from the National Lung Screening Trial using comparative modeling, PLoS One, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24979231;2014
MISCAN-Lung (Erasmus);de Koning HJ, Meza R, Plevritis SK, Raising the bar for the U.S. Preventive Services Task Force, Ann Intern Med, Oct. 7, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=25285549;2014
MISCAN-Lung (Erasmus);Meza R, ten Haaf K, Kong CY, Erdogan A, Black WC, Tammemagi MC, Choi SE, Jeon J, Han SS, Munshi V, van Rosmalen J, et al., Comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the NLST and PLCO trials, Cancer, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24577803;2014
MISCAN-Lung (Erasmus);de Koning HJ, Meza R, Plevritis SK, ten Haaf K, Munshi VN, Jeon J, Erdogan SA, Kong CY, Han SS, van Rosmalen J, Choi SE, et al., Benefits and harms of computed tomography lung cancer screening strategies: a comparative modeling study for the U.S. Preventive Services Task Force, Ann Intern Med, March 4, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24379002;2014
MISCAN-Lung (Erasmus);McMahon PM, Meza R, Plevritis SK, Black WC, Tammemagi CM, Erdogan A, ten Haaf K, Hazelton W, Holford TR, Jeon J, Clarke L, et al., Comparing benefits from many possible computed tomography lung cancer screening programs: extrapolating from the National Lung Screening Trial using comparative modeling, PLoS One, Jan. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24979231;2014
SimSmoke (Georgetown);Near AM, Blackman K, Currie LM, Levy DT, Sweden SimSmoke: the effect of tobacco control policies on smoking and snus prevalence and attributable deaths, Eur J Public Health, June 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24287030;2014
SimSmoke (Georgetown);Holford TR, Meza R, Warner KE, Meernik C, Jeon J, Moolgavkar SH, Levy DT, Tobacco control and the reduction in smoking-related premature deaths in the United States, 1964-2012, JAMA, Jan. 8, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24399555;2014
SimSmoke (Georgetown);Holford TR, Levy DT, McKay LA, Clarke L, Racine B, Meza R, Land S, Jeon J, Feuer EJ. Patterns of birth cohort-specific smoking histories, 1965-2009. Am J Prev Med 2014 46(2):e31-7.;;2014
SimSmoke (Georgetown);Levy DT, Huang AT, Currie LM, Clancy L, The benefits from complying with the framework convention on tobacco control: a SimSmoke analysis of 15 European nations, Health Policy Plan, Dec. 1, 2014 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=24262281;2014
