  Name;Auth;Journal/Year;Abstract;Keys;Pmid;Info
Comparative Effectiveness of Prostate Cancer Screening Between the Ages of 55 and 69 Years Followed by Active Surveillance;de Carvalho, Tiago M., Heijnsdijk, Eveline A. M., de Koning, Harry J.;2018;;;WOS:000423076000013;
Comparing CISNET Breast Cancer Incidence and Mortality Predictions to Observed Clinical Trial Results of Mammography Screening from Ages 40 to 49;van den Broek, Jeroen J., van Ravesteyn, Nicolien T., Mandelblatt, Jeanne S., Huang, Hui, Ergun, Mehmet Ali, Burnside, Elizabeth S., Xu, Cong, Li, Yisheng, Alagoz, Oguzhan, Lee, Sandra J., Stout, Natasha K., Song, Juhee, Trentham-Dietz, Amy, Plevritis, Sylvia K., Moss, Sue M., de Koning, Harry J.;2018;;;WOS:000429896900013;
CONSTRUCTION OF SIMULATION TECHNIQUES FOR DEVELOPMENT OF OPTIMAL CERVICAL CANCER SCREENING STRATEGIES: EXPERIENCE OF UKRAINE;Soloviov, S., Artemchuk, H., Kovalyuk, O., Dzyublyk, I, Dutchak, I;2015;;;WOS:000209861400063;
Continuing screening mammography in women aged 70 to 79 years: impact on life expectancy and cost-effectiveness.;;JAMA. 1999 Dec 8.282(22):2156-63.;Abstract CONTEXT: Mammography is recommended and is cost-effective for women aged 50 to 69 years, but the value of continuing screening mammography after age 69 years is not known. In particular, older women with low bone mineral density (BMD) have a lower risk of breast cancer and may benefit less from continued screening. OBJECTIVE: To compare life expectancy and cost-effectiveness of screening mammography in elderly women based on 3 screening strategies. DESIGN: Decision analysis and cost-effectiveness analysis using a Markov model. PATIENTS: General population of women aged 65 years or older. INTERVENTIONS: The analysis compared 3 strategies: (1) Undergoing biennial mammography from age 65 to 69 years. (2) undergoing biennial mammography from age 65 to 69 years, measurement of distal radial BMD at age 65 years, discontinuing screening at age 69 years in women in the lowest BMD quartile for age, and continuing biennial mammography to age 79 years in those in the top 3 quartiles of distal radius BMD. and (3) undergoing biennial mammography from age 65 to 79 years. MAIN OUTCOME MEASURES: Deaths due to breast cancer averted, life expectancy, and incremental cost-effectiveness ratios. RESULTS: Compared with discontinuing mammography screening at age 69 years, measuring BMD at age 65 years in 10000 women and continuing mammography to age 79 years only in women with BMD in the top 3 quartiles would prevent 9.4 deaths and add, on average, 2.1 days to life expectancy at an incremental cost of $66773 per year of life saved. Continuing mammography to age 79 years in all 10000 elderly women would prevent 1.4 additional breast cancer deaths and add only 7.2 hours to life expectancy at an incremental cost of $117689 per year of life saved compared with only continuing mammography to age 79 years in women with BMD in the top 3 quartiles. CONCLUSIONS: This analysis suggests that continuing mammography screening after age 69 years results in a small gain in life expectancy and is moderately cost-effective in those with high BMD and more costly in those with low BMD. Women's preferences for a small gain in life expectancy and the potential harms of screening mammography should play an important role when elderly women are deciding about screening.;Research Support, U.S. Gov't, P.H.S.,Aged,Aged, 80 and over,Bone Density,Breast Neoplasms/epidemiology,Breast Neoplasms/prevention & control,Carcinoma in Situ/epidemiology,Carcinoma in Situ/prevention & control,Carcinoma, Ductal, Breast/epidemiology,Carcinoma, Ductal, Breast/prevention & control,Cost-Benefit Analysis,Decision Support Techniques,Female,Humans,Life Expectancy*,Mammography/economics*,Mammography/statistics & numerical data*,Markov Chains,Quality-Adjusted Life Years,Sensitivity and Specificity,1 U01 CA 63740/CA/NCI NIH HHS/United States,P50 CA58207/CA/NCI NIH HHS/United States;10591338;
Controlling cervical cancer.;;;;Comment,Editorial,Cost-Benefit Analysis,Early Detection of Cancer*,Female,Humans,Immunization Programs/economics*,Models, Economic,Papillomavirus Infections/economics,Papillomavirus Infections/prevention & control*,Papillomavirus Vaccines/economics*,Papillomavirus Vaccines/therapeutic use,Uterine Cervical Neoplasms/economics,Uterine Cervical Neoplasms/prevention & control*,Uterine Cervical Neoplasms/virology,Women's Health,Papillomavirus Vaccines;19254043;
Cost effectiveness of CT colonography for UK NHS colorectal cancer screening of asymptomatic adults aged 60-69 years.;;Appl Health Econ Health Policy. 2010.8(3):141-54. doi: 10.2165/11535650-000000000-00000.;Abstract BACKGROUND: Screening of populations at risk for colorectal cancer (CRC) allows the detection and successful treatment of tumours and their precursor polyps. The current UK CRC screening programme is faecal occult blood testing (FOBT), despite evidence from modelling studies to suggest that more cost-effective technologies exist. OBJECTIVE: To assess the cost effectiveness of CT colonography (CTC) for colorectal cancer screening from the perspective of the UK NHS. METHODS: A state-transition Markov model was constructed to estimate lifetime costs and health outcomes of a cohort of individuals screened at age 60-69 years using four different CRC screening technologies: FOBT, flexible sigmoidoscopy, optical colonoscopy and CTC. RESULTS: CTC screening offered every 10 years was cost saving compared with the current UK programme of biennial FOBT screening. This strategy also yielded greater health benefits (QALYs and life-years) than biennial FOBT screening. The model fit observed CRC epidemiology data well and was robust to changes in underlying parameter values. CTC remained cost effective under a range of assumptions in the univariate sensitivity analysis. However, in the probabilistic sensitivity analysis, CTC dominated FOBT in only 5.9% of simulations and was cost effective at a threshold of pound30,000 per QALY gained in 48% of simulations. CONCLUSIONS: CTC has the potential to provide a cost-effective option for CRC screening in the UK NHS and may be cost saving compared with the current programme of biennial FOBT. Further analysis is required to assess the impact of introducing CTC to the UK CRC screening programme on the NHS budget and capacity.;Research Support, Non-U.S. Gov't,Aged,Colonography, Computed Tomographic/economics*,Colorectal Neoplasms/economics*,Colorectal Neoplasms/prevention & control,Cost-Benefit Analysis,Female,Humans,Male,Markov Chains,Mass Screening/economics*,Middle Aged,Occult Blood,Quality-Adjusted Life Years*,Sensitivity and Specificity,State Medicine/economics*,United Kingdom;20369905;
Cost effectiveness of mammography screening for Chinese women.;Wong IO1, Kuntz KM, Cowling BJ, Lam CL, Leung GM.;Cancer. 2007 Aug 15.110(4):885-95.;Abstract BACKGROUND: Although the cost effectiveness of screening mammography in most western developed populations has been accepted, it may not apply to Chinese women, who have a much lower breast cancer incidence. The authors estimated the cost effectiveness of biennial mammography in Hong Kong Chinese women to inform evidence-based screening policies. METHODS: For the current study, a state-transition Markov model was developed to simulate mammography screening, breast cancer diagnosis, and treatment in a hypothetical cohort of Chinese women. The benefit of mammography was modeled by assuming a stage shift, in which cancers in screened women were more likely to be diagnosed at an earlier disease stage. The authors compared costs, quality-adjusted life years (QALYs) saved, and life years saved (LYS) for 5 screening strategies. RESULTS: Biennial screening resulted in a gain in life expectancy ranging from 4.3 days to 9.4 days compared with no screening at an incremental cost of from US $1,166 to US $2,425 per woman. The least costly, nondominated screening option was screening from ages 40 years to 69 years, with an incremental cost-effectiveness ratio (ICER) of US $61,600 per QALY saved or US $64,400 per LYS compared with no screening. In probabilistic sensitivity analyses, the probability of the ICER being below a threshold of US $50,000 per QALY (LYS) was 15.3% (14.6%). CONCLUSIONS: The current results suggested that mammography for Hong Kong Chinese women currently may not be cost effective based on the arbitrary threshold of US $50,000 per QALY. However, clinicians must remain vigilant and periodically should revisit the question of population screening: Disease rates in China have been increasing because of westernization and socioeconomic development.;Research Support, Non-U.S. Gov't,Adult,Age Factors,Aged,Aged, 80 and over,Asian Continental Ancestry Group/statistics & numerical data*,Breast Neoplasms/diagnosis*,Breast Neoplasms/economics,Breast Neoplasms/ethnology,Cost-Benefit Analysis,Female,Hong Kong/epidemiology,Humans,Incidence,Mammography/economics*,Markov Chains,Mass Screening/economics*,Mass Screening/methods,Middle Aged,Models, Theoretical;17607668;
Cost effectiveness of shortening screening interval or extending age range of NHS breast screening programme: computer simulation study.;;BMJ. 1998 Aug 8.317(7155):376-9.;Abstract OBJECTIVE: To compare the cost effectiveness of two possible modifications to the current UK screening programme: shortening the screening interval from three to two years and extending the age of invitation to a final screen from 64 to 69. DESIGN: Computer simulation model which first simulates life histories for women in the absence of a screening programme for breast cancer and then assesses how these life histories would be changed by introducing different screening policies. The model was informed by screening and cost data from the NHS breast screening programme. SETTING: North West region of England. MAIN OUTCOME MEASURES: Numbers of deaths prevented, life years gained, and costs. RESULTS: Compared with the current breast screening programme both modifications would increase the number of deaths prevented and the number of life years saved. The current screening policy costs 2522 pounds per life year gained. extending the age range of the programme would cost 2612 pounds and shortening the interval 2709 pounds per life year gained. The marginal cost per life year gained of extending the age range of the screening programme is 2990 pounds and of shortening the screening interval is 3545 pounds. CONCLUSIONS: If the budget for the NHS breast screening programme were to allow for two more invitations per woman, substantial mortality reductions would follow from extending the age range screened or reducing the screening interval. The difference between the two policies is so small that either could be chosen.;Research Support, Non-U.S. Gov't,Age Factors,Aged,Breast Neoplasms/economics*,Breast Neoplasms/prevention & control,Computer Simulation,Cost of Illness,Cost-Benefit Analysis,England,Female,Health Policy/economics,Humans,Life Expectancy,Mass Screening/economics*,Middle Aged,State Medicine/economics,Time Factors,Value of Life;9694752;
Cost implications of routine mammography screening of women 50-69 years in the County of Funen, Denmark;Bech M., Gyrd-Hansen D.;2000,Health Policy;In order to estimate the net costs of introducing mammography screening to women 50-69 years of age, unit costs of all relevant activities related to detection and treatment of breast cancer were estimated using activity based costing methods. In order to determine the overall impact of mammography screening, activity data collected from the second screening round (1996-1997) were compared with expected activity levels in the case no screening had taken place in this time period. The direct health care costs associated with the screening activity, excluding effects on treatment and diagnostics but including women's transport and time costs, were estimated at DKK 305 per attendee. The cost of clinical mammography decreases with the introduction of screening due to a decrease in the total number of women undergoing this introductory diagnostic activity, while surgery costs increases, whereas cost incurred by adjuvant treatment and treatment of recurrences will be significantly reduced. Overall, inclusion of effects on course of treatment decreases the net cost of screening by 30-40% to DKK 208 and DKK 128 including and excluding the women's time and transport costs, respectively. (C) 2000 Elsevier Science Ireland Ltd.;Breast cancer, Cost analysis, Mammography screening;;
Cost of the cervical cancer screening program at the Mexican Social Security Institute;Granados-Garcia V., Flores Y.N., Perez R., Rudolph S.E., Lazcano-Ponce E., Salmeron J.;2014,Salud Publica de Mexico;Objective: To estimate the annual cost of the National Cervical Cancer Screening Program (CCSP) of the Mexican Institute of Social Security (IMSS). Materials and methods. This cost analysis examined regional coverage rates reported by IMSS. We estimated the number of cytology, colposcopy, biopsy and pathology evaluations, as well as the diagnostic test and treatment costs for cervical intraepithelial neoplasia grade II and III (CIN 2/3) and cervical cancer. Diagnostic test costs were estimated using a micro-costing technique. Sensitivity analyses were performed. Results: The cost to perform 2.7 million cytology tests was nearly 38 million dollars, which represents 26.1% of the total program cost (145.4 million). False negatives account for nearly 43% of the program costs. Conclusion: The low sensitivity of the cytology test generates high rates of false negatives, which results in high institutional costs from the treatment of undetected cervical cancer cases.;Cervical cancer, Costs and cost analysis, Cytology, Mexico, Screening;;
Cost-effective analysis of fecal occult blood screening for colorectal cancer;Lejeune, C, Arveux, P, Dancourt, V, Bejean, S, Bonithon-Kopp, C, Faivre, J;INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,2004;;;WOS:000225223400006;
Cost-effectiveness analyses in gynecologic oncology: methodological quality and trends.;Manuel MR1, Chen LM, Caughey AB, Subak LL.;Gynecol Oncol. 2004 Apr.93(1):1-8.;Abstract OBJECTIVES: To evaluate methodological quality and trends of cost-effectiveness analyses (CEA) published in gynecologic oncology. METHODS: A medical literature search of articles from 1966 through 2002 was performed to identify original, English-language articles that included economic analyses in gynecologic oncology. We included articles that were cost-effectiveness or cost-benefit analyses or performed these analyses as part of their study. Ten methodological principles that should be incorporated in CEAs were assessed for each study. Each article was given a score of 0, 1, or 2 for each of the 10 methodological principles (max score = 20). Data were analyzed using the Student t test, ANOVA, and linear regression. RESULTS: We screened 693 articles to identify 68 that met our inclusion criteria. The articles focused on cervical cancer (n = 53. 78%), ovarian cancer (n = 11. 16%), uterine cancer (n = 2. 3%), and general perioperative care (n = 2. 3%). The mean (+/-SD) methodological principle score was 16.1 (+/-4.1) and we observed a significant improvement in the total score over time (P = 0.01). Primary CEA's (CEA identified as the objective of the study) were of higher quality than secondary CEA's (primary objective of the study was not CEA but CEA was included in the study. total scores 18.2 vs. 11.6, respectively. P<0.0001). Studies with at least one investigator in public health or healthcare economies also had higher quality (mean total score 17.7 vs. 15.2. P=0.006). The most common limitations of published CEAs were in methodology or presentation of incremental analyses, sensitivity analyses, and discounting. CONCLUSIONS: Cost-effectiveness analyses in gynecologic oncology showed significant improvement in quality over the last two decades. Despite this progress, methodological improvement is still needed in the areas of incremental comparisons and sensitivity analysis. Understanding the methodology of cost-effectiveness analysis is critical for researchers, editors, and readers to accurately interpret results of the growing body of CEA articles.;Meta-Analysis,Research Support, U.S. Gov't, P.H.S.,Analysis of Variance,Cost-Benefit Analysis/methods,Cost-Benefit Analysis/standards*,Cost-Benefit Analysis/trends,Female,Gynecology/economics*,Humans,Linear Models,Medical Oncology/economics*,K12 HD01262-02/HD/NICHD NIH HHS/United States;15047206;
Cost-effectiveness analysis of anal cancer screening in women with cervical neoplasia in British Columbia, Canada.;Cromwell I1,2, Gaudet M3,4, Peacock SJ5,6,7, Aquino-Parsons C3.;BMC Health Serv Res. 2016 Jun 27.16:206. doi: 10.1186/s12913-016-1442-2.;Abstract BACKGROUND: Precursors to anal squamous cell carcinoma may be detectable through screening. however, the literature suggests that population-level testing is not cost-effective. Given that high-grade cervical neoplasia (CIN) is associated with an increased risk of developing anal cancer, and in light of changing guidelines for the follow-up and management of cervical neoplasia, it is worthwhile to examine the costs and effectiveness of an anal cancer screening program delivered to women with previously-detected CIN. METHODS: A model of anal cancer screening and treatment was constructed, to estimate the cost-effectiveness of a population of CIN II/III+ women who were screened using anal cytology vs. one that received no anal cancer screening. Costs were based on Canadian estimates, and survival was based on estimates taken from the scientific literature. Effectiveness was measured in terms of life years gained (LYG) and quality-adjusted life years (QALYs). The model was run for 50 cycles, with each cycle representing one year. RESULTS: Incremental cost (screened vs. unscreened) was $82.17 per woman in the model. Incremental effectiveness was 0.004 LYG, and was equivalent to zero in terms of QALY. An ICER of $20,561/LYG was calculated, while no meaningful incremental cost-effectiveness ratio (ICER) could be calculated for quality-adjusted survival. CONCLUSION: Our analysis suggests that anal cancer screening is cost-effective in terms of overall survival in women with a previous diagnosis of CIN II or CIN III as part of regular follow-up, but may not contribute meaningfully-different quality-adjusted survival due to the adverse effects of screening-related interventions.;Research Support, Non-U.S. Gov't,Anus Neoplasms/diagnosis*,British Columbia,Carcinoma, Squamous Cell/diagnosis*,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Health Care Costs,Humans,Models, Statistical,Quality-Adjusted Life Years,Uterine Cervical Neoplasms/complications*;27349646;
Cost-effectiveness analysis of cervical cancer screening strategies based on the Papanicolaou smear test in Korea.;Ko MJ1, Kim J, Kim Y, Lee YJ, Hong SR, Lee JK.;Asian Pac J Cancer Prev. 2015.16(6):2317-22.;Abstract BACKGROUND: Despite the increasing number of screening examinations performed for cervical cancer utilizing the Papanicolaou smear test (Pap test), few studies have examined whether this strategy is cost-effective in Korea. OBJECTIVE: This study was conducted to evaluate the cost-effectiveness of cervical cancer screening strategies incorporating the Pap test based on age at the start and end of screening as well as screening interval. MATERIALS AND METHODS: We designed four alternative screening strategies based on patient age when screening was started (20 or 30 years) and discontinued (lifetime, 79 years). Each strategy was assessed at screening intervals of 1, 2, 3, or 5 years. A Markov model was developed to determine the cost-effectiveness of the 16 possible cervical cancer screening strategies, and this was evaluated from a societal perspective. The main outcome measures were average lifetime cost, incremental quality-adjusted life-years (QALYs), and incremental cost-effectiveness ratio (ICER). RESULTS: Compared with various strategies comprising younger starting age, discontinuation age, and longer screening intervals, strategies employing annual screening for cervical cancer starting at a target age of 30 years and above were the most cost-effective, with an ICER of 21,012.98 dollars per QALY gained (with a Korean threshold of 30,000,000 KRW or US$27,272). CONCLUSIONS: We found that annual screening for cervical cancer beginning at a target age of 30 years and above is most cost-effective screening strategy. Considering the potential economic advantages, more intense screening policies for cervical cancer might be favorable among countries with high rates of cervical cancer and relatively low screening costs.;Research Support, Non-U.S. Gov't,Adult,Aged,Cervical Intraepithelial Neoplasia/diagnosis,Cervical Intraepithelial Neoplasia/economics*,Cervical Intraepithelial Neoplasia/virology,Cost-Benefit Analysis*,Early Detection of Cancer/economics*,Female,Follow-Up Studies,Humans,Middle Aged,Models, Theoretical,Neoplasm Grading,Neoplasm Staging,Papanicolaou Test/economics*,Papillomaviridae/isolation & purification,Papillomavirus Infections/diagnosis,Papillomavirus Infections/economics*,Papillomavirus Infections/virology,Prognosis,Quality-Adjusted Life Years,Republic of Korea,Uterine Cervical Neoplasms/diagnosis,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/virology,Vaginal Smears/economics*,Young Adult;25824757;
Cost-effectiveness analysis of colorectal cancer screening strategies in Singapore: a dynamic decision analytic approach.;Wong SS1, Leong AP, Leong TY.;Stud Health Technol Inform. 2004.107(Pt 1):104-10.;Abstract A dynamic decision analytic framework using local statistics and expert's opinions is put to study the cost-effectiveness of colorectal cancer screening strategies in Singapore. It is demonstrated that any of the screening strategies, if implemented, would increase the life expectancy of the population of 50 to 70 years old. The model also determined the normal life expectancy of this population to be 76.32 years. Overall, Guaiac Fecal Occult Blood Test (FOBT) is most cost effective at SGD162.11 per life year saved per person. Our approach allowed us to model problem parameters that change over time and study the utility measures like cost and life expectancy for specific age within the range of 50- 69 through to 70 years old.;Research Support, Non-U.S. Gov't,Aged,Barium Sulfate,Colonoscopy/economics,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/economics,Cost-Benefit Analysis,Decision Support Techniques*,Enema/economics,Female,Humans,Life Expectancy,Male,Markov Chains,Mass Screening/economics*,Middle Aged,Occult Blood,Sigmoidoscopy/economics,Singapore,Barium Sulfate;15360784;
Cost-effectiveness analysis of fecal occult blood screening for colorectal cancer.;Lejeune C1, Arveux P, Dancourt V, Bƒ?jean S, Bonithon-Kopp C, Faivre J.;Int J Technol Assess Health Care. 2004 Fall.20(4):434-9.;Abstract OBJECTIVES: Clinical trials have demonstrated that fecal occult blood screening for colorectal cancer can significantly reduce mortality. However, to be deemed a priority from a public health policy perspective, any new program must prove itself to be cost-effective. The objective of this study was to assess the cost-effectiveness of screening for colorectal cancer using a fecal occult blood screening test, the Hemoccult-II, in a cohort of 100,000 asymptomatic individuals 50-74 years of age. METHODS: A decision analysis model using a Markov approach simulates the trajectory of the cohort allocated either to screening or no screening over a 20-year period through several health states. Clinical and economic data used in the model came from the Burgundy trial, French population-based studies, and Registry data. RESULTS: Modeling biennial screening versus the absence of screening over a 20-year period resulted in a 17.7 percent mortality reduction and a discounted incremental cost-effectiveness ratio of 3357 Euro per life-year gained among individuals 50-74 years of age. Sensitivity analyses performed on epidemiological and economic data showed the strong impact on the results of colonoscopy cost, of compliance to screening, and of specificity of the screening test. CONCLUSIONS: Cost-effectiveness estimates and sensitivity analyses suggest that biennial screening for colorectal cancer with fecal occult blood test could be recommended from the age of 50 until 74. Our findings support the attempts to introduce large-scale population screening programs.;Research Support, Non-U.S. Gov't,Aged,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/epidemiology,Cost-Benefit Analysis,Humans,Markov Chains,Mass Screening/economics*,Middle Aged,Occult Blood*;15609792;
Cost-Effectiveness Analysis of Four Simulated Colorectal Cancer Screening Interventions, North Carolina;Lich, Kristen Hassmiller, Cornejo, David A., Mayorga, Maria E., Pign Michael, Tangka, Florence K. L., Richardson, Lisa C., Kuo, Tzy-Mey, Meyer, Anne-Marie, Hall, Ingrid J., Smith, Judith Lee, Durham, Todd A., Chall, Steven A., Crutchfield, Trisha M., Wheeler, Stephanie B.;2017;;;WOS:000397144800009;
Cost-effectiveness analysis of mammography screening in Hong Kong Chinese using state-transition Markov modelling.;;;;Research Support, Non-U.S. Gov't,Adult,Age Factors,Aged,Breast Neoplasms/economics*,Breast Neoplasms/ethnology,Breast Neoplasms/prevention & control*,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Hong Kong,Humans,Longitudinal Studies,Mammography/economics*,Markov Chains,Mass Screening/economics*,Mass Screening/methods,Middle Aged;20601733;
Cost-effectiveness analysis of screening strategies for colorectal cancer in Colombia [Analisis de Costo-Efectividad de las Estrategias de Tamizacion de Cancer Colorrectal en Colombia];Pinzon Florez C.E., Rosselli D., Gamboa Garay O.A.;2012,Value in Health Regional Issues;Objective: To evaluate the cost-effectiveness of different screening strategies for colorectal cancer in Colombia. Methods: We designed a Markov model to compare the clinical and economic impact in terms of reducing the incidence and mortality from colorectal cancer (CRC). Six screening strategies for adults were compared: fecal occult blood (FOBT) immunochemical and guaiac type, conventional colonoscopy, flexible sigmoidoscopy, and FOBT guaiac and immunochemical type more sigmoidoscopy. We used the third-party payer perspective, including only direct costs, the time horizon was the life expectancy of the Colombian population. We estimated cost-effectiveness ratios (CERs) and incremental cost-effectiveness (ICER). Were performed deterministic sensitivity analysis and probabilistic. We applied a discount rate of 3% in the costs and health outcomes. Results: The screening strategy more cost-effective was the FOBT biennial guaiac type. The cost per life year gained was US$10,347.37, US$18,380.64, and US$45,158.05. For FOBT guaiac biennial, FOBT guaiac annual and FOBT inmunoquimica biennial respectively. The ICER is sensitive to the percentage of false positive test for FOBT guaiac type values greater than 10%, and the cost of the test. Conclusions: The screening strategy more cost-effective for Colombia is the FOBT biennial guaiac type, using as a threshold the gross domestic product (GDP) per capita in Colombia. ? 2012 International Society for Pharmacoeconomics and Outcomes Research (ISPOR).;,article, cancer screening, Colombia, colonoscopy, colorectal cancer, cost effectiveness analysis, false positive result, fecal occult blood test guaiac type, fecal occult blood test immunochemical type, occult blood test, priority journal, sigmoidoscopy, statistical model;;
Cost-effectiveness analysis of strategies for screening prostatic cancer.;;;;Review,Adult,Aged,Clinical Protocols,Cost-Benefit Analysis*,Decision Trees,Disease Progression,Health Services Research,Humans,Male,Mass Screening/economics*,Middle Aged,Models, Econometric*,Prostatic Neoplasms/diagnosis*,Prostatic Neoplasms/economics,Prostatic Neoplasms/epidemiology,Prostatic Neoplasms/mortality,United States/epidemiology;10151755;
Cost-effectiveness analysis of two strategies for mass screening for colorectal cancer in France;Berchi, C, Bouvier, V, Reaud, JM, Launoy, G;2004;;;WOS:000220019800002;
Cost-effectiveness analysis on screening for colorectal neoplasm and management of colorectal cancer in Asia.;;Aliment Pharmacol Ther. 2008 Aug 1.28(3):353-63. doi: 10.1111/j.1365-2036.2008.03726.x.;Abstract BACKGROUND: Faecal occult blood testing (FOBT), flexible sigmoidoscopy (FS) and colonoscopy are recommended for subjects above 50 years of age for screening for colorectal cancer (CRC). AIM: To evaluate the cost-effectiveness of FOBT, FS and colonoscopy on the basis of disease prevalence, compliance rate and cost of screening procedures in Asian countries. METHODS: A hypothetical population of 100 000 persons aged 50 undergoes either FOBT annually, FS every 5 years or colonoscopy every 10 years until the age of 80 years. Patients with positive FOBT or polyp in FS are offered colonoscopy. Surveillance colonoscopy is repeated every 3 years. The treatment cost of CRC, including surgery and chemotherapy, was evaluated. A Markov model was used to compare the cost-effectiveness of different screening strategies. RESULTS: Assuming a compliance rate of 90%, colonoscopy, FS and FOBT can reduce CRC incidence by 54.1%, 37.1% and 29.3% respectively. The incremental cost-effectiveness ratio (ICER) for FOBT (US$6222 per life-year saved) is lower than FS (US$8044 per life-year saved) and colonoscopy (US$7211 per life-year saved). When the compliance rate drops to 50% and 30%, FOBT still has the lowest ICER. CONCLUSION: FOBT is cost-effective compared to FS or colonoscopy for CRC screening in average-risk individuals aged from 50 to 80 years.;Evaluation Studies,Aged,Aged, 80 and over,Asia,Biomarkers, Tumor/economics,Colonic Polyps/diagnosis*,Colonic Polyps/economics,Colonic Polyps/prevention & control,Colonoscopy/economics,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/economics,Colorectal Neoplasms/prevention & control,Cost-Benefit Analysis,Early Detection of Cancer,Female,Humans,Male,Mass Screening/economics,Middle Aged,Occult Blood*,Patient Compliance,Risk Factors,Sigmoidoscopy/economics,Biomarkers, Tumor;18638075;
Cost-effectiveness analysis on the once-in-a-lifetime cervical cancer screening program for women living in rural and urban areas of China].;;Zhonghua Liu Xing Bing Xue Za Zhi. 2013 Apr.34(4):399-403.;Abstract OBJECTIVE: To estimate the cost-effectiveness of once-in-a-lifetime cervical cancer screening program and to predict the optimal modality for its operation on women living in rural and urban areas of China, based on Markov modeling and simulation. METHODS: Three modalities including visual inspection with acetic acid plus Lugol's iodine (VIA/VILI), conventional Pap Smear (Pap Smear), and simple HPV DNA testing (careHPV) were hypothesized for the rural cohort, whereas other five modalities including Pap Smear, liquid-based cytology (LBC), simple HPV DNA testing (careHPV), Hybrid Capture 2 HPV DNA testing (HC2), and LBC plus HC2 (LBC + HC2) were tested for the urban cohort. A Markov model was constructed based on the factors as natural history, screening, diagnosis and treatment on cervical cancer using data related to the epidemics and the costs from rural and urban areas of the country. Long-term effectiveness and cost-effectiveness were predicted through simulation of the model. RESULTS: Compared to the non-screening scenario, the amount of life years saved were 277.97 - 2727.53 and 134.02 - 1446.84 years per 100 000 women, respectively, for different cohorts in rural and urban areas. The cost-effectiveness ratios were 1520.99 - 2453.74 and 3847.35 - 44 570.35 RMB per life year saved, respectively, for different cohorts in rural and urban areas. The incremental cost-effective ratio for careHPV starting from 40 years old (careHPV@40) and careHPV from 30 years old (careHPV@30) dominated other strategies for the rural cohort, while careHPV@40, careHPV@30, HC2 from 30 years old (HC2@30), and LBC + HC2 from 30 years old (LBC + HC2@30) were dominant for the urban cohort. CONCLUSION: All eight once-in-a-lifetime cervical cancer screening modalities were cost-effective based on our model. In particular, careHPV screening starting from 40 years old seemed to be the most cost-effective one for women living in both rural and urban areas.;English Abstract,Research Support, Non-U.S. Gov't,Adult,Age Factors,Cost-Benefit Analysis,Early Detection of Cancer,Female,Humans,Mass Screening/economics*,Middle Aged,Outcome and Process Assessment (Health Care),Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/prevention & control*;23937850;
Cost-effectiveness and budget impact analyses of a colorectal cancer screening programme in a high adenoma prevalence scenario using MISCAN-Colon microsimulation model;Arrospide, Arantzazu, Idigoras, Isabel, Mar, Javier, de Koning, Harry, van der Meulen, Miriam, Soto-Gordoa, Myriam, Miguel Martinez-Llorente, Jose, Portillo, Isabel, Arana-Arri, Eunate, Ibarrondo, Oliver, Lansdorp-Vogelaar, Iris;2018;;;WOS:000430804000001;
